"Heavy Shield Maintenance Bot I", 22765
"Heavy Armor Maintenance Bot I", 23523
"Medium Armor Maintenance Bot I", 23709
"Light Armor Maintenance Bot I", 23711
"Medium Shield Maintenance Bot I", 23717
"Light Shield Maintenance Bot I", 23719
"Heavy Armor Maintenance Bot II", 28197
"Heavy Shield Maintenance Bot II", 28199
"Light Armor Maintenance Bot II", 28201
"Light Shield Maintenance Bot II", 28203
"Medium Armor Maintenance Bot II", 28205
"Medium Shield Maintenance Bot II", 28207
"Heavy Hull Maintenance Bot I", 33671
"Medium Hull Maintenance Bot I", 33704
"Light Hull Maintenance Bot I", 33706
"Heavy Hull Maintenance Bot II", 33708
"Medium Hull Maintenance Bot II", 33710
"Light Hull Maintenance Bot II", 33712
"Garbage", 41
"Broken Organic Mortar Applicators", 2368
"Broken Sterile Conduits", 2369
"Broken Nano-Factory", 2371
"Broken Self-Harmonizing Power Core", 2373
"Broken Recursive Computing Module", 2374
"Broken Broadcast Node", 2375
"Broken Integrity Response Drones", 2376
"Broken Wetware Mainframe", 2377
"Soil", 3643
"Hydrogen Batteries", 3685
"Electronic Parts", 3687
"Ectoplasm", 3771
"Hydrochloric Acid", 3773
"Data Sheets", 3812
"Reports", 3814
"Carbon", 9826
"Defunct Drone Sensor Module", 11588
"Test Dummies", 12302
"Metal Scraps", 15331
"Research Tools", 15353
"Manufacturing Tools", 16686
"High-Tech Data Chip", 17893
"High-Tech Scanner", 17894
"High-Tech Manufacturing Tools", 17895
"High-Tech Small Arms", 17897
"Shattered Villard Wheel", 33539
"Research Component", 40456
"Medium 'Astrahus' Citadel BPC Token", 40548
"Large 'Fortizar' Citadel BPC Token", 40549
"Subcompact TEBS Interface", 40701
"Convoy Hawk 6 Escort Roster", 41023
"Audio Log Backup \u2013 115/11/11 A-0477", 41024
"Audio Log Backup \u2013 117/07/01 G-6640", 41025
"Manifest \u2013 Cargo 118/01/06 \u2013 CLEARENCE 1B", 41026
"Secure Comms Uplink ALPHA-6", 41027
"Medical Report 0401A \u2013 117/01/19", 41028
"Progress Report 0466B \u2013 117/02/28", 41029
"Thermonuclear Trigger Unit Blueprint", 17322
"Plasma Thruster Blueprint", 17324
"Nanomechanical Microprocessor Blueprint", 17325
"Nuclear Pulse Generator Blueprint", 17326
"Ladar Sensor Cluster Blueprint", 17333
"Nuclear Reactor Unit Blueprint", 17342
"Deflection Shield Emitter Blueprint", 17346
"Electrolytic Capacitor Unit Blueprint", 17347
"Fernite Carbide Composite Armor Plate Blueprint", 17355
"Orbital EMP S", 32801
"Plutonium", 3727
"Toxic Waste", 3729
"Confiscated Viral Agent", 19398
"Standup AM Guided Bomb", 37849
"Standup AS Guided Bomb", 37850
"Standup Void Guided Bomb", 37851
"Praetor EV-900", 22572
"Berserker SW-900", 23536
"Acolyte EV-300", 23659
"Infiltrator EV-600", 23702
"Valkyrie SW-600", 23729
"Warrior SW-300", 23731
"Upwell Palatine Keepstar", 40340
"Orbital Laser S", 32799
"Quake L", 12761
"Tremor L", 12765
"Tourists", 3719
"Slaves", 3721
"Slaver Hound", 3723
"Refugees", 3806
"Marines", 3810
"Exotic Dancers, Male", 4358
"Slaver", 12049
"Homeless", 12110
"Science Graduates", 12243
"Janitor", 13267
"Exotic Dancers, Female", 17765
"Kameiras", 17767
"Freedom Fighters", 17791
"Elite Slaves", 17796
"Freed Slaves", 18029
"Fedo", 26902
"Orbital Hybrid S", 32803
"Astrahus", 35832
"Fortizar", 35833
"Keepstar", 35834
"Quake M", 12767
"Tremor M", 12771
"Bantam", 582
"Condor", 583
"Griffin", 584
"Kestrel", 602
"Merlin", 603
"Heron", 605
"Standup Variable Spectrum ECM I", 35940
"Quake S", 12631
"Tremor S", 12633
"Slasher", 585
"Probe", 586
"Rifter", 587
"Breacher", 598
"Burst", 599
"Vigil", 3766
"Standup Remote Sensor Dampener I", 35941
"Barrage L", 12775
"Hail L", 12779
"Executioner", 589
"Inquisitor", 590
"Tormentor", 591
"Punisher", 597
"Crucifier", 2161
"Magnate", 29248
"Standup Stasis Webifier I", 35943
"Barrage M", 12773
"Hail M", 12777
"Stabber", 622
"Rupture", 629
"Bellicose", 630
"Scythe", 631
"Standup Target Painter I", 35947
"Legion Electronics - Energy Parasitic Complex", 30036
"Legion Electronics - Tactical Targeting Network", 30038
"Legion Electronics - Dissolution Sequencer", 30040
"Legion Electronics - Emergent Locus Analyzer", 30042
"Hail S", 12608
"Barrage S", 12625
"Maller", 624
"Augoror", 625
"Arbitrator", 628
"Omen", 2006
"Standup Weapon Disruptor I", 35945
"Primae", 2863
"Miasmos Quafe Ultra Edition", 4363
"Miasmos Quafe Ultramarine Edition", 4388
"Miasmos Amastris Edition", 32811
"Null L", 12787
"Void L", 12791
"Osprey", 620
"Caracal", 621
"Moa", 623
"Blackbird", 632
"Standup Warp Scrambler I", 35949
"Venture", 32880
