
Name,                                      Profit Per Run, ISK Per Second, Runs Per Cycle, Break Even Price
"mercoxit mining crystal i",                 2.054962,       1197.336670,    288.000000,     340487.000000
"medium warhead calefaction catalyst i",     1.157648,       122.107666,     28.799999,      2323677.000000
"burst jammer i",                            5.817831,       115.014999,     48.000000,      42971.000000
"medium anti-em screen reinforcer i",        2.572399,       67.917465,      28.799999,      129580.593750
"osprey",                                    1.086837,       63.891666,      7.200000,       8829230.000000
"medium ancillary current router i",         1.031707,       55.625668,      28.799999,      5263043.000000
"medium anti-thermal screen reinforcer i",   2.237974,       53.472469,      28.799999,      129580.593750
"medium capacitor control circuit i",        1.095076,       49.199001,      28.799999,      1552403.000000
"deep core mining laser i",                  1.220887,       42.646221,      41.142857,      405442.937500
"large remote shield booster i",             1.025824,       41.117970,      2880.000000,    47766.460938
"spodumain mining crystal i",                1.254518,       36.067780,      96.000000,      127539.000000
"gravimetric ecm i",                         2.860608,       25.836285,      48.000000,      24994.687500
"medium anti-explosive screen reinforcer i", 1.543132,       23.459803,      28.799999,      129580.593750
"small armor repairer i",                    2.500828,       21.411324,      96.000000,      12839.708984
"large remote armor repairer i",             2.093477,       19.345015,      32.000000,      47766.460938
"medium capacitor booster i",                1.684655,       19.300011,      48.000000,      50740.878906
"radar ecm i",                               2.380062,       19.163450,      48.000000,      24994.687500
"medium remote armor repairer i",            2.404152,       17.881367,      48.000000,      22922.339844
"medium anti-kinetic screen reinforcer i",   1.388997,       16.802135,      28.799999,      129580.593750
"tracking speed script",                     1.639015,       16.243601,      288.000000,     7625.919922
"multispectral ecm i",                       1.990891,       12.415155,      48.000000,      22552.720703
"cap recharger i",                           1.422039,       9.397511,       48.000000,      40080.480469
"large shield extender i",                   1.310323,       9.051610,       48.000000,      52503.000000
"tracking computer i",                       2.633329,       7.222462,       48.000000,      7959.469727
"atron",                                     1.121788,       7.201516,       14.400000,      354790.906250
"core scanner probe i",                      1.476087,       7.023533,       288.000000,     4425.790039
"large cap battery i",                       1.075351,       5.839271,       48.000000,      139489.312500
"ladar ecm i",                               1.360285,       5.002895,       48.000000,      24994.687500
"damage control i",                          1.331291,       3.399534,       96.000000,      9235.320312
"medium shield extender i",                  1.086030,       2.552025,       96.000000,      26697.978516
"medium core defense capacitor safeguard i", 1.062751,       1.968190,       28.799999,      94095.429688
"co-processor i",                            1.045272,       1.536222,       96.000000,      30539.900391
"small shield extender i",                   1.141342,       1.375979,       96.000000,      8761.599609
"light missile launcher i",                  1.111142,       1.000245,       96.000000,      8099.769531
"ballistic control system i",                1.002009,       0.182413,       96.000000,      81735.828125
"rapid light missile launcher i",            0.944624,       -0.455944,      48.000000,      14820.599609
"salvage drone i",                           0.990763,       -0.844466,      288.000000,     27425.240234
"iron charge s",                             0.013021,       -0.998033,      288.000000,     303.359985
"carbonized lead s",                         0.011867,       -0.999200,      288.000000,     303.359985
"proton s",                                  0.011361,       -1.763633,      288.000000,     535.169983
"depleted uranium s",                        0.015250,       -2.576433,      288.000000,     784.899963
"nova light missile",                        0.016253,       -2.760067,      288.000000,     841.700012
"scourge light missile",                     0.010722,       -2.761800,      288.000000,     837.519958
"inferno light missile",                     0.009221,       -2.865267,      288.000000,     867.579956
"titanium sabot s",                          0.014681,       -2.881400,      288.000000,     877.299988
"condor",                                    0.946472,       -2.969151,      14.400000,      332814.906250
"phased plasma s",                           0.016335,       -3.731534,      288.000000,     1138.050049
"gneiss mining crystal i",                   0.986147,       -4.916667,      288.000000,     106474.000000
"emp s",                                     0.012820,       -5.059200,      288.000000,     1537.469971
"nova heavy missile",                        0.011857,       -5.089033,      144.000000,     3090.059814
"nova heavy assault missile",                0.007443,       -5.111766,      144.000000,     3090.059814
"5mn microwarpdrive i",                      0.920232,       -5.297244,      96.000000,      59767.519531
"titanium sabot m",                          0.010067,       -5.736233,      144.000000,     3476.739746
"depleted uranium m",                        0.014308,       -5.848817,      144.000000,     3560.229980
"miner i",                                   0.726502,       -5.856033,      96.000000,      19270.429688
"mjolnir light missile",                     0.007750,       -5.889200,      288.000000,     1780.559937
"fusion s",                                  0.004432,       -6.338633,      144.000000,     3820.109863
"cap booster 25",                            0.103603,       -6.460066,      288.000000,     2162.009766
"50mn microwarpdrive i",                     0.946146,       -6.574175,      48.000000,      219733.515625
"mobile tractor unit",                       0.994456,       -7.704834,      14.400000,      8338229.000000
"phased plasma m",                           0.013616,       -7.846817,      144.000000,     4773.080078
"scourge heavy missile",                     0.010657,       -8.010050,      144.000000,     4857.799805
"scourge heavy assault missile",             0.012089,       -8.024899,      144.000000,     4873.859863
"mjolnir heavy assault missile",             0.012573,       -8.241133,      144.000000,     5007.639648
"mjolnir heavy missile",                     0.010452,       -8.258833,      144.000000,     5007.639648
"inferno heavy missile",                     0.011000,       -8.541101,      144.000000,     5181.660156
"inferno heavy assault missile",             0.009626,       -8.552967,      144.000000,     5181.660156
"antimatter charge m",                       0.012944,       -11.429186,     180.000000,     5557.949219
"heavy capacitor booster i",                 0.569577,       -12.104733,     32.000000,      75931.781250
"cap booster 50",                            0.123471,       -13.582867,     288.000000,     4648.859863
"heavy missile launcher i",                  0.461490,       -14.260621,     48.000000,      47666.917969
"medium shield booster i",                   0.752847,       -14.590386,     96.000000,      53130.347656
"ice harvester upgrade i",                   0.640381,       -15.723976,     96.000000,      39351.578125
"venture",                                   0.676243,       -17.195427,     14.400000,      318672.562500
"mining laser upgrade i",                    0.594611,       -17.725197,     96.000000,      39351.578125
"large remote capacitor transmitter i",      0.805129,       -17.928623,     32.000000,      248407.281250
"nova cruise missile",                       0.007391,       -18.190321,     96.000000,      16493.189453
"antimatter charge l",                       0.009465,       -20.080566,     96.000000,      18245.208984
"scourge cruise missile",                    0.008877,       -20.451599,     96.000000,      18571.289062
"catalyst",                                  0.843596,       -20.548681,     9.600000,       1182438.125000
"inferno cruise missile",                    0.007017,       -23.107943,     96.000000,      20944.109375
"cap booster 75",                            0.067361,       -27.458933,     288.000000,     8832.659180
"mjolnir cruise missile",                    0.008741,       -33.354675,     96.000000,      30283.917969
"large shield booster i",                    0.644046,       -33.774879,     48.000000,      170793.781250
"cap booster 150",                           0.107139,       -34.168163,     144.000000,     22960.898438
"bistot mining crystal i",                   0.929222,       -35.150002,     288.000000,     148987.000000
"scourge torpedo",                           0.011752,       -37.372387,     96.000000,      34035.117188
"mjolnir torpedo",                           0.007324,       -37.702065,     96.000000,      34182.199219
"cap booster 100",                           0.091986,       -46.062496,     288.000000,     15218.649414
"omber mining crystal i",                    0.730451,       -47.833332,     288.000000,     53237.000000
"cap booster 400",                           0.142563,       -50.434505,     96.000000,      52938.046875
"cap booster 200",                           0.141340,       -50.626347,     144.000000,     35375.808594
"nova torpedo",                              0.004026,       -51.525433,     96.000000,      46560.320312
"plagioclase mining crystal i",              0.635053,       -51.716667,     288.000000,     42513.000000
"cap booster 800",                           0.080460,       -54.589977,     96.000000,      53429.960938
"strip miner i",                             0.942590,       -60.761192,     41.142857,      2222588.500000
"dark ochre mining crystal i",               0.804914,       -76.212341,     288.000000,     117198.000000
"cap booster 3200",                          0.111076,       -87.932991,     96.000000,      89028.632812
"caracal",                                   0.898917,       -95.581749,     7.200000,       11346981.000000
"jaspet mining crystal i",                   0.660283,       -96.282669,     288.000000,     85026.000000
"augoror",                                   0.799429,       -146.354080,    7.200000,       8756249.000000
"ice harvester i",                           0.854515,       -156.471436,    41.142857,      2258590.000000
"inferno torpedo",                           0.002482,       -164.842911,    288.000000,     49575.902344
"small tractor beam i",                      0.883559,       -218.120972,    96.000000,      1685908.875000
"retriever",                                 0.894531,       -225.884338,    7.200000,       25700612.000000
"bistot mining crystal ii",                  0.080197,       -361.855804,    6.422359,       5292489.000000
"50mn microwarpdrive ii",                    0.091970,       -411.371979,    0.753440,       51951672.000000
"arkonor mining crystal ii",                 0.129004,       -427.077759,    7.076167,       5986961.500000
"5mn microwarpdrive ii",                     0.087364,       -597.116577,    1.646216,       34339068.000000
"helium fuel block",                         0.024494,       -882.798279,    96.000000,      814468.312500
"hydrogen fuel block",                       0.026462,       -912.350891,    96.000000,      843434.812500
"oxygen fuel block",                         0.022748,       -959.448425,    96.000000,      883603.562500
"nitrogen fuel block",                       0.023938,       -969.075562,    96.000000,      893558.000000
"concussion bomb",                           0.050435,       -42048.242188,  144.000000,     26568946.000000
